OBJECTID,站名,站號,站號_X,站號_Y,海拔高,縣市,緯度,經度,位置
47,信義,C0I080,0.000000000000000,0.000000000000000,536m,南投縣,23.689699999999998,120.851000000000000,信義鄉自強村綠美巷(內茅埔營林區23林班地)
48,鳳凰,C0I090,0.000000000000000,0.000000000000000,910m,南投縣,23.728100000000001,120.787300000000000,鹿谷鄉鳳凰鳥園旁
49,竹山,C0I110,0.000000000000000,0.000000000000000,161m,南投縣,23.761199999999999,120.688199999999990,竹山鎮延和里向學街32號(竹山國民小學內)
50,水里,C0I360,0.000000000000000,0.000000000000000,300m,南投縣,23.812600000000000,120.849800000000000,水里鄉中山路一段515號(玉山國家公園管理處)
51,集集,C0I380,0.000000000000000,0.000000000000000,258m,南投縣,23.828199999999999,120.801500000000000,集集鎮民生東路1號(農委會特有生物研究保育中心)
52,名間,C0I410,0.000000000000000,0.000000000000000,180m,南投縣,23.837100000000000,120.701400000000010,名間鄉董門巷2號(名間鄉立體停車場)
53,梅峰,C0I480,0.000000000000000,0.000000000000000,2165m,南投縣,24.085300000000000,121.173599999999990,仁愛鄉大同村仁和路215號(梅峰農場)
54,萬大林道,C0I490,0.000000000000000,0.000000000000000,1601m,南投縣,23.928200000000000,121.091399999999990,仁愛鄉曲冰段(萬大林道約7.2k附近高地)
55,玉山風口,C0I520,0.000000000000000,0.000000000000000,3860m,南投縣,23.470500000000001,120.956000000000000,信義鄉(玉山主峰往北峰叉路空地附近)
56,小奇萊,C0I530,0.000000000000000,0.000000000000000,3014m,南投縣,24.131799999999998,121.295700000000000,仁愛鄉小奇萊步道指標1.5K處附近
57,奇萊稜線,C0I540,0.000000000000000,0.000000000000000,3344m,南投縣,24.109200000000001,121.326500000000000,仁愛鄉奇萊連峰指標6.4K處(奇萊山屋附近)
58,草嶺,C0K240,0.000000000000000,0.000000000000000,1132m,雲林縣,23.595500000000001,120.693500000000000,古坑鄉草嶺村龍頭
59,崙背,C0K250,0.000000000000000,0.000000000000000,12m,雲林縣,23.755500000000001,120.318900000000000,崙背鄉阿勸村阿勸農場(阿勸段487號)
60,四湖,C0K280,0.000000000000000,0.000000000000000,23m,雲林縣,23.630400000000002,120.227099999999990,四湖鄉湖西村中正路766號(四湖國民中學內)
61,宜梧,C0K291,0.000000000000000,0.000000000000000,8m,雲林縣,23.536300000000001,120.169300000000010,口湖鄉湖口村170號央廣口湖分台內(憲兵排樓頂)
62,虎尾,C0K330,0.000000000000000,0.000000000000000,38m,雲林縣,23.719200000000001,120.441999999999990,虎尾鎮林森路一段64號(中正國民小學內)
63,土庫,C0K390,0.000000000000000,0.000000000000000,31m,雲林縣,23.678999999999998,120.395600000000000,土庫鎮建國路41號(土庫消防分隊)
64,斗六,C0K400,0.000000000000000,0.000000000000000,65m,雲林縣,23.720600000000001,120.541100000000000,斗六市鎮北路345-1號(斗六消防分隊)
65,北港,C0K410,0.000000000000000,0.000000000000000,20m,雲林縣,23.574000000000002,120.292800000000000,北港鎮大同路565號(北港消防分隊)
66,西螺,C0K420,0.000000000000000,0.000000000000000,42m,雲林縣,23.800400000000000,120.467400000000000,西螺鎮公正路211號(西螺消防分隊)
67,褒忠,C0K430,0.000000000000000,0.000000000000000,30m,雲林縣,23.690899999999999,120.303600000000000,褒忠鄉中正路451號(褒忠鄉公所)
68,二崙,C0K440,0.000000000000000,0.000000000000000,35m,雲林縣,23.772800000000000,120.408900000000000,二崙鄉中正路80號(二崙消防分隊)
69,大埤,C0K450,0.000000000000000,0.000000000000000,35m,雲林縣,23.646100000000001,120.431500000000000,大埤鄉中山路8號(大埤鄉公所)
70,斗南,C0K460,0.000000000000000,0.000000000000000,60m,雲林縣,23.678699999999999,120.478399999999990,斗南鎮延平路二段266號(斗南鎮停一立體停車場)
71,林內,C0K470,0.000000000000000,0.000000000000000,97m,雲林縣,23.748699999999999,120.609600000000000,林內鄉中正路685號(林內消防分隊)
72,莿桐,C0K480,0.000000000000000,0.000000000000000,56m,雲林縣,23.761199999999999,120.502399999999990,莿桐鄉和平路53號(莿桐鄉公所)
73,元長,C0K500,0.000000000000000,0.000000000000000,12m,雲林縣,23.649799999999999,120.315000000000000,元長鄉長南村仁愛街2號(元長鄉公所)
74,水林,C0K510,0.000000000000000,0.000000000000000,10m,雲林縣,23.572900000000001,120.246000000000000,水林鄉水北村水林路12號(水林鄉公所)
75,臺西,C0K530,0.000000000000000,0.000000000000000,12m,雲林縣,23.701499999999999,120.197599999999990,台西鄉中山路110巷38號(臺西消防分隊)
76,蔦松,C0K550,0.000000000000000,0.000000000000000,15m,雲林縣,23.514299999999999,120.229699999999990,水林鄉松中村蔦松路213號(蔦松國小)
77,棋山,C0K560,0.000000000000000,0.000000000000000,117m,雲林縣,23.686499999999999,120.603399999999990,古坑鄉棋盤村棋山49號(棋山國小)
78,高鐵雲林,C0K580,0.000000000000000,0.000000000000000,26m,雲林縣,23.737500000000001,120.417900000000000,虎尾鎮站前東路301號(高鐵雲林站外)
79,雲林東勢,C0K590,0.000000000000000,0.000000000000000,18m,雲林縣,23.674199999999999,120.255700000000000,東勢鄉東榮路29巷1號(東勢鄉圖書館樓頂)
80,箔子寮,C0K600,0.000000000000000,0.000000000000000,14m,雲林縣,23.619700000000002,120.140000000000000,口湖鄉漁港路370號
81,溪口,C0M660,0.000000000000000,0.000000000000000,40m,嘉義縣,23.604099999999999,120.403600000000000,溪口鄉中正東路103號(溪口國中學生活動中心)
82,大林,C0M670,0.000000000000000,0.000000000000000,43m,嘉義縣,23.600600000000000,120.458400000000000,大林鎮新興街110號(大林地政事務所)
83,民雄,C0M760,0.000000000000000,0.000000000000000,40m,嘉義縣,23.551800000000000,120.428500000000000,民雄鄉文化路7號(民雄鄉公所)
84,嘉義梅山,C0M770,0.000000000000000,0.000000000000000,164m,嘉義縣,23.585400000000000,120.555600000000000,梅山鄉中山路282號(梅山鄉公所)
85,下水埔,C1G691,0.000000000000000,0.000000000000000,110m,彰化縣,23.816099999999999,120.567600000000000,溪州鄉大莊國小(大庄村中橫巷1號)
86,國一S218K,C1G9D0,0.000000000000000,0.000000000000000,30m,彰化縣,23.890599999999999,120.493300000000000,國道1號南向218.3K
87,翠峰,C1H000,0.000000000000000,0.000000000000000,2454m,南投縣,24.109400000000001,121.205200000000000,仁愛鄉翠峰段30地號東側旁(臺14甲線19-19.5k處的長途通信機房旁)
88,國三N238K,C1H840,0.000000000000000,0.000000000000000,231m,南投縣,23.841000000000001,120.707700000000000,國道3號北向238.2K
89,六分寮,C1H971,0.000000000000000,0.000000000000000,428m,南投縣,23.925100000000000,120.637800000000000,南投市鳳鳴里八卦路831號(南投縣政府消防局第一大隊鳳鳴分隊)
90,萬大,C1I020,0.000000000000000,0.000000000000000,1120m,南投縣,23.979800000000001,121.132300000000000,仁愛鄉親愛村萬大水庫宿舍旁
91,武界,C1I030,0.000000000000000,0.000000000000000,948m,南投縣,23.913200000000000,121.052499999999990,仁愛鄉法治村
92,丹大,C1I050,0.000000000000000,0.000000000000000,2568m,南投縣,23.753699999999998,121.141099999999990,信義鄉丹大事業區第十七林班地(瞭望台旁)
93,和社,C1I070,0.000000000000000,0.000000000000000,825m,南投縣,23.591100000000001,120.888900000000010,信義鄉中橫同富村同和巷47號和社分社觀測坪內
94,溪頭,C1I101,0.000000000000000,0.000000000000000,1810m,南投縣,23.661799999999999,120.807599999999990,鹿谷鄉內湖村森林巷溪頭林營區(鳳凰山瞭望台旁)
95,大鞍,C1I121,0.000000000000000,0.000000000000000,1515m,南投縣,23.678400000000000,120.760000000000010,竹山鎮樟空倫山之三角點附近
96,桶頭,C1I131,0.000000000000000,0.000000000000000,311m,南投縣,23.641900000000000,120.654100000000000,竹山鎮鯉南路338號旁
97,卡奈托灣,C1I140,0.000000000000000,0.000000000000000,1700m,南投縣,23.754400000000000,121.087900000000000,信義鄉丹大事業區第16林班地
98,青雲,C1I150,0.000000000000000,0.000000000000000,393m,南投縣,23.793399999999998,120.949400000000000,信義鄉地利村5鄰開信巷98-3號旁
99,中心崙,C1I201,0.000000000000000,0.000000000000000,677m,南投縣,23.728700000000000,120.712100000000010,竹山鎮之中心崙林道4.1km處
100,豐丘,C1I290,0.000000000000000,0.000000000000000,1151m,南投縣,23.668199999999999,120.887400000000000,信義鄉豐丘村豐丘產業道路末端
101,西巒,C1I310,0.000000000000000,0.000000000000000,1033m,南投縣,23.754500000000000,120.884000000000000,信義鄉台21線道之人倫林道9.5k處
102,奧萬大,C1I320,0.000000000000000,0.000000000000000,1275m,南投縣,23.952999999999999,121.178600000000000,仁愛鄉奧萬大森林遊樂區內(員工宿舍)
103,新興橋,C1I340,0.000000000000000,0.000000000000000,897m,南投縣,23.563300000000002,120.868700000000000,信義鄉臺21線新興橋附近
104,新高口,C1I440,0.000000000000000,0.000000000000000,2540m,南投縣,23.478700000000000,120.878900000000000,信義鄉新高口(臺18線約107.5k處路旁，對高岳營林區第31林班446號林地內)
105,望鄉山,C1I450,0.000000000000000,0.000000000000000,3025m,南投縣,23.594200000000001,120.944300000000000,信義鄉巒大事業區第131林班內(郡大林道約32K附近，望鄉山三角點旁)
106,杉林溪,C1I470,0.000000000000000,0.000000000000000,1680m,南投縣,23.639500000000002,120.786400000000000,竹山鎮大鞍里(杉林溪森林生態渡假園區收費亭附近，向欣谷碑旁)
107,線浸林道,C1I510,0.000000000000000,0.000000000000000,1208m,南投縣,23.761500000000002,120.833000000000000,鹿谷鄉線浸林道11k附近
108,口湖,C1K540,0.000000000000000,0.000000000000000,15m,雲林縣,23.585300000000000,120.180499999999990,口湖鄉口湖村中正路一段280號(口湖消防分隊)
109,瑞里,C1M620,0.000000000000000,0.000000000000000,1252m,嘉義縣,23.545100000000001,120.675200000000000,梅山鄉瑞里派出所旁小路至站址(公墓旁)車程約10分鐘
110,十字,C1M640,0.000000000000000,0.000000000000000,1567m,嘉義縣,23.492200000000000,120.753699999999990,阿里山鄉十字村16號（十字國小樓頂）
111,國三N285K,C1M870,0.000000000000000,0.000000000000000,121m,嘉義縣,23.550300000000000,120.505799999999990,國道3號北向285K
112,田中,467270,0.000000000000000,0.000000000000000,48.6m,彰化縣,23.873799999999999,120.581300000000000,田中鎮中潭里4鄰高鐵三路1段167號
113,阿里山,467530,0.000000000000000,0.000000000000000,2413.4m,嘉義縣,23.508199999999999,120.813199999999990,阿里山鄉中正村4鄰東阿里山73-1號
114,玉山,467550,0.000000000000000,0.000000000000000,3844.8m,南投縣,23.487600000000000,120.959500000000010,信義鄉玉山北峰1號
115,日月潭,467650,0.000000000000000,0.000000000000000,1017.5m,南投縣,23.881300000000000,120.908100000000000,魚池鄉水社村中山路270巷14號
